_id,userInputData.cleanedUrl,userInputData.hashedUrl,userInputData.isRedirection,userInputData.isUsingHTTPS,userInputData.isUsingWordPress,userInputData.msgBankName,userInputData.originalUrl,userInputData.resolvedUrl,userInputData.riskScore,userInputData.riskmsg,userInputData.spamMsg
64ff0f71029e6af919ffaea3,hdfcbank.com,7ec24d512ab3557f019cbb0b000d2d7f,[Safe-100],false,false,HDFCBK,https://rb.gy/e7au2,https://www.hdfcbank.com/,25,"Bank Name and Bank URL Matched!!, Risk Score is: 25 | - Possibly a Geniune bank URL",Urgent Action Required: HDFC Bank Account verification pending. Use the official HDFC Bank URL: https://rb.gy/e7au2 to prevent account suspension.
64ff0f8a029e6af919ffaea4,axisbank.com,37af332d2546669487a890b2b81268f5,[Safe-100],true,false,AXISBK,https://www.axisbank.com/,https://www.axisbank.com/,10,"Bank Name and Bank URL Matched!!, Risk Score is: 10 | - Possibly a Geniune bank URL",Alert! Your Bank Axis Account is at risk due to incomplete PAN card update. Use the provided URL: https://www.axisbank.com/ to avoid account deactivation.
64ff0fad029e6af919ffaea5,sbi.co.in,3e8407c29a5dc6261d67eb80dd55c7b7,[Safe-100],true,false,SBIBK,https://shorturl.ac/sbibank,https://sbi.co.in/,20,"Bank Name and Bank URL Matched!!, Risk Score is: 20 | - Possibly a Geniune bank URL",Alert! Your SBI Bank Account is at risk due to incomplete PAN card update. Use the provided URL: https://shorturl.ac/sbibank to avoid account deactivation.
64ff0fd0029e6af919ffaea6,fraud.com,d0384bffcbbfa805ce9cea1a5e8f0377,[Danger-0],false,true,ICICIBK,https://www.fraud.com/.,https://www.fraud.com/,85,"[DANGER] - Suspecious Mesaages Alert!!, Risk Score is: 85 | -[SPAM MESSAGE]","Dear Customer, Your ICICI Bank Account is temporarily on hold. Confirm your KYC details via our mobile app: https://www.fraud.com/. Thank you, ICICI Bank"
64ff0fdb029e6af919ffaea7,fraud.com,d0384bffcbbfa805ce9cea1a5e8f0377,[Danger-0],false,true,NULLBANKNAME,https://shorturl.ac/icicibank,https://www.fraud.com/,85,"[DANGER] - Suspecious Mesaages Alert!!, Risk Score is: 85 | -[SPAM MESSAGE]",Your Bank Account requires immediate attention. Update your PAN card details using the provided URL: https://shorturl.ac/icicibank to prevent account deactivation.
64ff19f0029e6af919ffaeab,onlinesbi.sbi,9569114d03419d20412df8c18278b703,[Danger-0],true,false,NULLBANKNAME,https://corp.onlinesbi.sbi/corporate/sbi/sbi_home.html,https://onlinesbi.sbi/,85,"[DANGER] - Suspecious Mesaages Alert!!, Risk Score is: 85 | -[SPAM MESSAGE]",https://corp.onlinesbi.sbi/corporate/sbi/sbi_home.html
64ff3643029e6af919ffaeac,mayoclinic.org,ad22890e9d6dca8da22c0288ff563184,[Safe-100],true,false,NULLBANKNAME,https://www.mayoclinic.org/symptoms/headache/basics/causes/sym-20050800,https://www.mayoclinic.org/,80,"[DANGER] - Suspecious Mesaages Alert!!, Risk Score is: 80 | -[SPAM MESSAGE]",https://www.mayoclinic.org/symptoms/headache/basics/causes/sym-20050800
64ff3684029e6af919ffaead,pissedconsumer.com,cac81601c63cc9de9b2062c06ba36684,[Safe-100],true,false,NULLBANKNAME,https://paytm.pissedconsumer.com/customer-service.html,https://www.pissedconsumer.com/,80,"[DANGER] - Suspecious Mesaages Alert!!, Risk Score is: 80 | -[SPAM MESSAGE]",https://paytm.pissedconsumer.com/customer-service.html
64ff376d029e6af919ffaeae,hdfcbank.com,7ec24d512ab3557f019cbb0b000d2d7f,[Safe-100],false,false,NULLBANKNAME,https://rb.gy/e7au2,https://www.hdfcbank.com/,25,"This: hdfcbank.com, is a geniune bank URL, Risk Score is 25",https://rb.gy/e7au2
6511d94da49cf5c435c72dc3,axisbank.com,37af332d2546669487a890b2b81268f5,[Safe-100],true,false,NULLBANKNAME,https://www.axisbank.com/,https://www.axisbank.com/,10,"This: axisbank.com, is a geniune bank URL, Risk Score is 10","Alert! Your Bank Axis Account is at risk due to incomplete PAN card update. Use the provided URL: https://www.axisbank.com/ to avoid account deactivation.

"
